2023-01-25 15:40:49 [main] INFO  com.zaxxer.hikari.HikariDataSource - master - Starting...
2023-01-25 15:40:49 [main] INFO  com.zaxxer.hikari.HikariDataSource - master - Start completed.
2023-01-25 15:40:49 [main] INFO  c.b.d.d.DynamicRoutingDataSource - dynamic-datasource - add a datasource named [slave] success
2023-01-25 15:40:49 [main] INFO  c.b.d.d.DynamicRoutingDataSource - dynamic-datasource - add a datasource named [master] success
2023-01-25 15:40:49 [main] INFO  c.b.d.d.DynamicRoutingDataSource - dynamic-datasource initial loaded [2] datasource,primary datasource named [master]
2023-01-25 15:40:57 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-3000"]
2023-01-25 15:40:57 [main] INFO  com.kob.backend.BackendApplication - Started BackendApplication in 22.519 seconds (JVM running for 27.771)
2023-01-25 15:40:58 [main] INFO  c.k.b.s.I.o.SysOssConfigServiceImpl - 发布刷新OSS配置 => minio
2023-01-25 15:40:58 [main] INFO  c.k.b.s.I.o.SysOssConfigServiceImpl - 发布刷新OSS配置 => qiniu
2023-01-25 15:40:58 [main] INFO  c.k.b.s.I.o.SysOssConfigServiceImpl - 发布刷新OSS配置 => aliyun
2023-01-25 15:40:58 [main] INFO  c.k.b.s.I.o.SysOssConfigServiceImpl - 发布刷新OSS配置 => qcloud
2023-01-25 15:40:58 [main] INFO  c.k.b.s.I.o.SysOssConfigServiceImpl - 发布刷新OSS配置 => image
2023-01-25 15:40:58 [main] INFO  com.kob.oss.factory.OssFactory - 初始化OSS工厂
2023-01-25 15:40:58 [main] INFO  c.k.b.runner.SystemApplicationRunner - 初始化OSS配置成功
2023-01-25 15:41:00 [RMI TCP Connection(3)-192.168.93.1] INFO  o.a.c.c.C.[.[localhost].[/kob] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2023-01-25 15:58:17 [SpringApplicationShutdownHook] INFO  c.b.d.d.DynamicRoutingDataSource - dynamic-datasource start closing ....
2023-01-25 15:58:17 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - master - Shutdown initiated...
2023-01-25 15:58:17 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - master - Shutdown completed.
2023-01-25 15:58:17 [SpringApplicationShutdownHook] INFO  c.b.d.d.DynamicRoutingDataSource - dynamic-datasource all closed success,bye
